セクション,項目,逸动 2026款 1.5L 蓝鲸超擎 劲享型,逸动 2026款 1.5L 蓝鲸超擎 悦享型,逸动 2026款 1.5L 蓝鲸超擎 智享型,逸动 2026款 1.5T 经典版,逸动 2026款 第四代 1.5T 500Bar 劲享型,逸动 2026款 第四代 1.5T 500Bar 悦享型,逸动 2026款 第四代 1.5T 500Bar 智享型,逸动 2025款 PLUS 1.5L 手动豪华版,逸动 2025款 PLUS 1.4T 双离合高能版,逸动 2025款 蓝鲸 1.5T 高能版,逸动 2025款 蓝鲸 1.5T 500Bar尊贵型,逸动 2025款 蓝鲸 1.5T 500Bar旗舰型
互联/智能化,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车",-,○ 空调控制,"● 车门控制
● 车辆启动
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车
● 预约保养/维修"
互联/智能化,车载KTV,●,●,●,-,●,●,●,-,-,○,○,○
方向盘/内后视镜,方向盘材质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 机械挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,●,-,-,-,-,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,-,-,● 10.25英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个/后排1个,● 前排1个,● 前排1个/后排1个,● 前排1个/后排1个
车内充电,USB/Type-C最大充电功率,● 18W,● 18W,● 18W,-,● 10W,● 10W,● 10W,-,-,-,-,-
车内充电,手机无线充电功能,-,-,● 前排,-,-,-,● 前排,-,-,-,-,● 前排
车内充电,手机无线充电功率,-,-,● 50W,-,-,-,● 50W,-,-,-,-,-
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,主 ● /副-,-,-,-,主 ● /副-,-,-,-,-,主 ● /副-
座椅配置,前排座椅功能,"● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热
● 通风","● 加热
● 通风",-,"● 加热(仅驾驶位)
● 通风(仅驾驶位)","● 加热
● 通风","● 加热
● 通风",-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,● 整体放倒,-,-,-,● 整体放倒,-,● 比例放倒,-,-,-
座椅配置,前/后中央扶手,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后 ●,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-,前 ● /后-
座椅配置,后排杯架,-,-,●,-,-,-,●,-,-,-,-,-
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 6喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 4喇叭,● 6喇叭,● 2喇叭,● 6喇叭,● 6喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,-,●,●,●,-,-,-,-,-
音响/车内灯光,车内环境氛围灯,-,● 多色,● 多色,-,-,● 多色,● 多色,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 自动空调,● 手动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,-,●,-,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–
选装包,选装包1,-,-,-,-,-,-,○ 选配 (3399元),-,-,-,-,-
