セクション,セクション_ja,項目,項目_ja,2026年モデル 500 4MATIC 先鋒版,2026年モデル 500 4MATIC 豪華版,2026年モデル 500 4MATIC フラッグシップ版,2024年モデル 500 4MATIC 先鋒版,2024年モデル 500 4MATIC 豪華版,2024年モデル 500 4MATIC フラッグシップ版
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○ （2400元）,○ （2400元）,○ （2400元）,○ （2400元）,○ （2400元）,○ （2400元）
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,●,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）,○ （3000元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,"○ 本革（2.00万元）
● 合成皮革",● 合成皮革,● 合成皮革,"○ 本革（2.00万元）
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
○ ベンチレーション（7000元）","● ヒーター
○ ベンチレーション（7000元）","● ヒーター
○ ベンチレーション（7000元）","● ヒーター
○ ベンチレーション（7000元）","● ヒーター
○ ベンチレーション（7000元）","● ヒーター
○ ベンチレーション（7000元）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,○ ヒーター（3300元）,○ ヒーター（3300元）,○ ヒーター（3300元）,○ ヒーター（3300元）,○ ヒーター（3300元）,○ ヒーター（3300元）
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Burmester（バルメスター）サウンド（10000元）,○ Burmester（バルメスター）サウンド（10000元）,● Burmester（バルメスター）サウンド,○ Burmester（バルメスター）サウンド,○ Burmester（バルメスター）サウンド,● Burmester（バルメスター）サウンド
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"○ 15スピーカー（10000元）
● 8～9スピーカー","○ 15スピーカー（10000元）
● 8～9スピーカー",● 15スピーカー,"○ 15スピーカー（10000元）
● 8～9スピーカー","○ 15スピーカー（10000元）
● 8～9スピーカー",● 15スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 64色,● 64色,● 64色,● 64色,● 64色,● 64色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,○ （5800元）,-,-,○ （5800元）
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,○ （6100元）,○ （6100元）,○ （6100元）,-,-,○ （6100元）
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–
