セクション,セクション_ja,項目,項目_ja,2026年モデル ホンモンコクウ 2.0L 快適版,2026年モデル ホンモンコクウ 2.0L 超快適版,2026年モデル ホンモンコクウ 2.0L インテリジェント超快適版,2026年モデル ホンモンコクウ 2.0T フラッグシップ版,2026年モデル HarmonyOSコックピット 2.0T S380マスター版,2025年モデル 2.0L XL TLS 悦享版,2025年モデル 2.0L SV 黒金版,2025年モデル 2.0T XV 尊享版,2024年モデル 2.0L XE 真心版
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,● HarmonySpace,● HarmonySpace,● HarmonySpace,● HarmonySpace,● HarmonySpace,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト,● Nissan Connect超スマートコネクト
互联/智能化,互联/智能化,车机系统内存(GB),車載システムメモリ(GB),● 16,● 16,● 16,● 16,● 16,-,-,-,-
互联/智能化,互联/智能化,车机系统存储(GB),車載システムストレージ(GB),● 128,● 128,● 128,● 128,● 128,-,-,-,-
互联/智能化,互联/智能化,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ライト操作
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ライト操作
● 車両状態確認/診断
● 車両位置検索/呼出"
互联/智能化,互联/智能化,主动降噪,アクティブノイズキャンセリング,-,-,-,-,-,-,-,●,-
互联/智能化,互联/智能化,车载KTV,車載カラオケ,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 合成皮革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,-,-,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,●,●,-,-,●,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,● 前席,-,-,● 前席,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,● 50W,● 50W,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（2方向）","● 前後調整
● リクライニング調整
● レッグレスト調整
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主 ● / 副,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"● ヒーター
● ベンチレーション
● マッサージ機能","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","○ ヒーター
○ ベンチレーション","● ヒーター
● ベンチレーション","● ヒーター
● ベンチレーション
● マッサージ機能",-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席",-,-,● 運転席,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●,前 ● / 後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,-,-,● BOSE,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 15スピーカー,● 15スピーカー,● 17スピーカー,● 17スピーカー,● 17スピーカー,● 6スピーカー,● 6スピーカー,● 9スピーカー,● 4スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,-,-,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色,● 256色,-,-,● 64色,-
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブ環境照明,●,●,●,●,●,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席用エアアウトレット,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,座椅暖心包,シートヒーター,-,-,-,-,-,○ オプション（2400元）,-,-,-
