セクション,セクション_ja,項目,項目_ja,2025年モデル Max版 55kWh,2025年モデル Ultra版 55kWh,2025年モデル Ultra版 70kWh,2025年モデル Hyper版 70kWh,2025年モデル 曜黒版 70kWh
互联/智能化,互联/智能化,中控屏幕分辨率,センターコンソール画面解像度,● 3.5K,● 3.5K,● 3.5K,● 3.5K,● 3.5K
互联/智能化,互联/智能化,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,● 16インチ,● 16インチ,● 16インチ,● 16インチ,● 16インチ
互联/智能化,互联/智能化,副驾屏幕类型,助手席画面タイプ,● OLED,● OLED,● OLED,● OLED,● OLED
互联/智能化,互联/智能化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●
互联/智能化,互联/智能化,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応
互联/智能化,互联/智能化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,互联/智能化,语音助手唤醒词,音声アシスタント起動ワード,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva,● Hi，Eva
互联/智能化,互联/智能化,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●
互联/智能化,互联/智能化,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン
互联/智能化,互联/智能化,语音连续识别,連続音声認識,●,●,●,●,●
互联/智能化,互联/智能化,可见即可说,見てすぐ話せる機能,●,●,●,●,●
互联/智能化,互联/智能化,面部识别,顔認証,●,●,●,●,●
互联/智能化,互联/智能化,声纹识别,声紋認証,●,●,●,●,●
互联/智能化,互联/智能化,应用商店,アプリストア,●,●,●,●,●
互联/智能化,互联/智能化,车载智能系统,車載インテリジェントシステム,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS
互联/智能化,互联/智能化,车机智能芯片,車載スマートチップ,● 2基 クアルコム Snapdragon 8295,● 2基 クアルコム Snapdragon 8295,● 2基 クアルコム Snapdragon 8295,● 2基 クアルコム Snapdragon 8295,● 2基 クアルコム Snapdragon 8295
互联/智能化,互联/智能化,后排液晶屏幕,後席液晶画面,○ （1.50万円）,○ （1.50万円）,○ （1.50万円）,○ （1.50万円）,○ （1.50万円）
互联/智能化,互联/智能化,后排液晶屏幕尺寸,後席液晶画面サイズ,"○ 17インチ
● 6.3インチ","○ 17インチ
● 6.3インチ","○ 17インチ
● 6.3インチ","○ 17インチ
● 6.3インチ","○ 17インチ
● 6.3インチ"
互联/智能化,互联/智能化,后排液晶屏幕类型,後席液晶画面タイプ,● OLED,● OLED,● OLED,● OLED,● OLED
互联/智能化,互联/智能化,后排多媒体屏幕数量,後席マルチメディア画面数,"● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個","● 1個
○ 2個"
互联/智能化,互联/智能化,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●
互联/智能化,互联/智能化,车联网,車載ネットワーク,●,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●
互联/智能化,互联/智能化,车内生物监测系统,車内バイオモニタリングシステム,●,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● ステアリングヒーター
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス／修理予約"
互联/智能化,互联/智能化,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●
互联/智能化,互联/智能化,车载KTV,車載カラオケ,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 13インチ,● 13インチ,● 13インチ,● 13インチ,● 13インチ
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 47インチ,● 47インチ,● 47インチ,● 47インチ,● 47インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー","● 自動防眩目
● ストリーミングミラー"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 100W,● 100W,● 100W,● 100W,● 100W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整
○ 回転調整（1.20万円）","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整
○ 回転調整（1.20万円）
● フットレスト調整","● 前後調整
● 背もたれ調整
● 高さ調整
● 腰部調整
● レッグレスト調整
○ 回転調整（1.20万円）
● フットレスト調整","● 前後スライド調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整
● 回転調整
● フットレスト調整","● 前後スライド調整
● リクライニング調整
● 高さ調整
● 腰部調整
● レッグレスト調整
● 回転調整
● フットレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● 加熱
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●,●
座椅配置,シート装備,零重力座椅,ゼログラビティシート,● 2列目,● 2列目,● 2列目,● 2列目,● 2列目
座椅配置,シート装備,第三排座椅调节,3列目シート調整,"● 前後スライド調整
● リクライニング調整","● 前後スライド調整
● リクライニング調整","● 前後スライド調整
● リクライニング調整","● 前後スライド調整
● リクライニング調整","● 前後スライド調整
● リクライニング調整"
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,●,●,●,●,●
座椅配置,シート装備,第三排座椅功能,3列目シート機能,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター,● シートヒーター
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2（3列シート配置）,● 2-2-2（3列シート配置）,● 2-2-2（3列シート配置）,● 2-2-2（3列シート配置）,● 2-2-2（3列シート配置）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,●,●,●
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ Naim（6.00万元）,○ Naim（6.00万元）,○ Naim（6.00万元）,○ Naim（6.00万元）,○ Naim（6.00万元）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 32スピーカー,● 32スピーカー,● 32スピーカー,● 32スピーカー,● 32スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 1680万色,● 1680万色,● 1680万色,● 1680万色,● 1680万色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–
选装包,オプションパッケージ,48V主动稳定杆,48Vアクティブスタビライザー,-,"○ オプション（22,000元）","○ オプション（22,000元）",-,-
