セクション,セクション_ja,項目,項目_ja,2025年モデル 35TFSI 進取スポーティー,2025年モデル 35TFSI ファッショナブルスポーティー,2024年モデル 改良版 35TFSI 進取エレガント,2024年モデル 改良版 35TFSI 進取スポーティー,2024年モデル 改良版 35TFSI ファッショナブルエレガント,2024年モデル 改良版 35TFSI ファッショナブルスポーティー,2024年モデル 改良版 35 TFSI RSパッケージ スポーツ,2024年モデル 改良版 35TFSI ラグジュアリーエレガント,2024年モデル 改良版 35TFSI ラグジュアリースポーティー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー,● 機械式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,"● モノクロ
○ カラー（2500元）","● モノクロ
○ カラー（2500元）","● モノクロ
○ カラー（2500元）","● モノクロ
○ カラー（2500元）","● モノクロ
○ カラー（2500元）",● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,○ （6200元）,○ （6200元）,○ （6200元）,○ （6200元）,○ （6200元）,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ,○ 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 手動防眩目
○ 自動防眩目（1500元）","● 手動防眩目
○ 自動防眩目（1500元）","● 手動防眩目
○ 自動防眩目（1500元）","● 手動防眩目
○ 自動防眩目（1500元）","● 手動防眩目
○ 自動防眩目（1500元）","● 手動防眩目
○ 自動防眩目（1500元）","● 手動防眩目
○ 自動防眩目（1500元）",● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）,○ （500元）
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD","● USB
● AUX
● SD"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個,● 前席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
○ 高さ調整（4方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ○ / 助手席 ○（4500元）,運転席 ○ / 助手席 ○（4500元）,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ ヒーター（2000元）,○ ヒーター（2000元）,○ ヒーター（2000元）,○ ヒーター（2000元）,○ ヒーター（2000元）,○ ヒーター（2000元）,○ ヒーター（2000元）,○ ヒーター（2000元）,○ ヒーター（2000元）
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,○ SONOS（6000元）,○ SONOS（6000元）,○ SONOS（6000元）,○ SONOS（6000元）,○ SONOS（6000元）,○ SONOS（6000元）,○ SONOS（6000元）,● SONOS,● SONOS
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 8スピーカー
○ 14スピーカー","● 8スピーカー
○ 14スピーカー","● 8スピーカー
○ 14スピーカー","● 8スピーカー
○ 14スピーカー","● 8スピーカー
○ 14スピーカー","● 8スピーカー
○ 14スピーカー","● 8スピーカー
○ 14スピーカー",● 14スピーカー,● 14スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色,● 10色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,"● マニュアルエアコン
○ オートエアコン（3000元）",● オートエアコン,"● マニュアルエアコン
○ オートエアコン（3000元）","● マニュアルエアコン
○ オートエアコン（3000元）",● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,○,●,○,○,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,○ （350元）,●,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–
