セクション,セクション_ja,項目,項目_ja,2026年モデル Hi4 T,2026年モデル Hi4 T 智享版,2026年モデル Hi4 T ブラックウォリアー,2026年モデル Hi4 Z 智享版,2026年モデル Hi4 Z ブラックウォリアー
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（感応式ワイパー）,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
互联/智能化,コネクティビティ／スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
互联/智能化,コネクティビティ／スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ／スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
互联/智能化,コネクティビティ／スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Honor車載連携","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Honor車載連携","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Honor車載連携","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Honor車載連携","● CarPlay対応
● 純正連携/ミラーリング
● HUAWEI HiCar対応
● Carlink対応
● Honor車載連携"
互联/智能化,コネクティビティ／スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● シートヒーター
● シートベンチレーション"
互联/智能化,コネクティビティ／スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● タンクタンク,● タンクタンク,● タンクタンク,● タンクタンク,● タンクタンク
互联/智能化,コネクティビティ／スマート機能,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
互联/智能化,コネクティビティ／スマート機能,语音连续识别,連続音声認識,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手势控制,ジェスチャー操作,-,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,声纹识别,声紋認証,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,应用商店,アプリストア,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载智能系统,車載インテリジェントシステム,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS,● Coffee OS
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕,後席液晶画面,-,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕尺寸,後席液晶画面サイズ,● 7インチ,"● 7インチ
● 17.3インチ","● 7インチ
● 17.3インチ","● 7インチ
● 17.3インチ","● 7インチ
● 17.3インチ"
互联/智能化,コネクティビティ／スマート機能,后排液晶屏幕分辨率,後席液晶画面解像度,-,● 3K,● 3K,● 3K,● 3K
互联/智能化,コネクティビティ／スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,● 1個,● 2個,● 2個,● 2個,● 2個
互联/智能化,コネクティビティ／スマート機能,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车机系统内存(GB),車載システムメモリ(GB),● 24,● 24,● 24,● 24,● 24
互联/智能化,コネクティビティ／スマート機能,车机系统存储(GB),車載システムストレージ(GB),● 256,● 256,● 256,● 256,● 256
互联/智能化,コネクティビティ／スマート機能,多指飞屏操控,マルチタッチスクリーン操作,-,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车联网,車載ネットワーク,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ／スマート機能,OTA升级,OTAアップデート,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約","● ドアコントロール
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● メンテナンス/修理予約"
互联/智能化,コネクティビティ／スマート機能,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●
互联/智能化,コネクティビティ／スマート機能,车载KTV,車載カラオケ機能,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー,● 電子式シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩機能
○ デジタルインナーミラー","● 自動防眩機能
○ デジタルインナーミラー","● 自動防眩機能
○ デジタルインナーミラー","● 自動防眩機能
○ デジタルインナーミラー","● 自動防眩機能
○ デジタルインナーミラー"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）","● 前後調整
● リクライニング調整
● 高さ調整（2方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ（運転席のみ）
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ（運転席のみ）
○ マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ（運転席のみ）
○ マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ（運転席のみ）
○ マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ（運転席のみ）
○ マッサージ（助手席のみ）
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能"
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 14スピーカー,● 14スピーカー,● 14スピーカー,● 14スピーカー,● 14スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色調光,● 多色調光,● 多色調光,● 多色調光,● 多色調光
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,●
颜色,カラー,外观颜色,ボディカラー,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–
选装包,オプションパッケージ,户外休闲包,アウトドアパッケージ,○ オプション（3000元）,○ オプション（3000元）,○ オプション（3000元）,○ オプション（3000元）,○ オプション（3000元）
选装包,オプションパッケージ,科技包,テクノロジーパッケージ,○ オプション（5000元）,○ オプション（5000元）,○ オプション（5000元）,○ オプション（5000元）,○ オプション（5000元）
选装包,オプションパッケージ,19寸空气动力学轮毂,19インチ空力ホイール,○ オプション（5000元）,○ オプション（5000元）,-,○ オプション（5000元）,-
选装包,オプションパッケージ,18寸轮毂+全地形轮胎,18インチホイール＋オールテレーンタイヤ,○ オプション（5000元）,○ オプション（5000元）,-,○ オプション（5000元）,-
选装包,オプションパッケージ,20寸商务轮毂,20インチビジネスホイール,○ オプション（5000元）,○ オプション（5000元）,-,○ オプション（5000元）,-
选装包,オプションパッケージ,座椅按摩包,シートマッサージパッケージ,-,○ オプション（8000元）,○ オプション（8000元）,○ オプション（8000元）,○ オプション（8000元）
选装包,オプションパッケージ,黑武士专属外观套件,ブラックウォリアー専用エクステリアキット,-,-,○ オプション（無料）,-,○ オプション（無料）
