セクション,セクション_ja,項目,項目_ja,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 真香型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 尊享型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 旗艦型,2026年モデル 第4世代 1.5T ブルーホエール超エンジン 天枢リーダー型,2026年モデル 知慧チャンピオン版 1.5T 新ブルーホエール 知領型,2026年モデル 知慧チャンピオン版 1.5T 新ブルーホエール 知航型,2026年モデル 第4世代 1.5T 新ブルーホエール 尊享型,2026年モデル 第4世代 1.5T 新ブルーホエール 天枢フラッグシップ型,2026年モデル 第4世代 2.0T 新ブルーホエール 天枢擎雲型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧卓越型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧尊享型,2025年モデル 第4世代 1.5T 新ブルーホエール 知慧旗艦型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎風型,2025年モデル 第4世代 ウルトラ 2.0T 新ブルーホエール 擎雲型
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,● サスペンション硬さ調整,● サスペンション硬さ調整,-,-,-,-,● サスペンション硬さ調整,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前- /後 ●,前- /後 ●,前- /後 ●,前 ● /後 ●,前 ● /後 ●,前- /後 ●,前- /後 ●,前 ● /後 ●,前- /後 ●,前 ● /後 ●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 4個（エアバッグ数）,● 4個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）,● 5個（エアバッグ数）
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 4個（エアバッグ数）,● 4個（エアバッグ数）,● 4個（エアバッグ数）,● 12個（エアバッグ数）,● 4個（エアバッグ数）,● 4個（エアバッグ数）,● 4個（エアバッグ数）,● 12個（エアバッグ数）,● 12個（エアバッグ数）,● 4個（エアバッグ数）,● 4個（エアバッグ数）,● 12個（エアバッグ数）,● 4個（エアバッグ数）,● 12個（エアバッグ数）
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,-,● 5個（エアバッグ数）,-,-,-,● 5個（エアバッグ数）,● 5個（エアバッグ数）,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,-,● 天枢インテリジェントドライバーアシストビジョン版,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援,● レベル2自動運転支援
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,-,●,-,-,-,●,●,-,-,-,-,-
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）,● 高徳（地図・ナビ）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,●,-,-,-,●,●,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,-,●,-,-,-,●,●,-,-,●,-,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,●,-,-,-,●,●,-,-,●,-,●
驾驶功能,運転機能,循迹倒车,トレースバック機能（バック時）,-,-,-,●,-,-,-,●,●,-,-,●,-,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,-,-,-,●,-,-,-,●,●,-,-,-,-,-
驾驶功能,運転機能,信号灯识别,信号機認識,-,-,-,●,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,起步提醒,発進お知らせ機能,-,●,●,●,●,●,●,●,●,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）,● アルミ合金（ホイール）
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,-,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,●,●,●,-,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,●,●,-,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー",● リモコンキー,"● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー","● リモコンキー
● Bluetoothキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,-,-,-,-,-,-,-,-,-,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,-,●,-,-,-,●,●,●,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,-,●,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,-,-,-,●,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチアップ/ダウン,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,-,-,-,● 前席（エアコン）,-,-,-,-,● 前席（エアコン）,-,-,● 前席（エアコン）,-,● 前席（エアコン）
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,"● 運転席
● 助手席","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー（自動間欠ワイパー）,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
互联/智能化,コネクティビティ/スマート機能,副驾娱乐屏尺寸,助手席エンターテインメントスクリーンサイズ,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,-,-,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,"● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応
● Honor車載連携対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応
● Honor車載連携対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応
● Honor車載連携対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応
● Honor車載連携対応","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応
● Honor車載連携","● CarPlay対応
● HUAWEI HiCar対応
● Carlink対応
● Honor車載連携","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応","● HUAWEI HiCar対応
● Carlink対応
● T-LINK対応"
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ
● パワーウィンドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは,● 小安、こんにちは
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● 4ゾーン（エアコン）,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話しかけ可能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,-,-,-,-,● 天枢インテリジェントコックピット,● 天枢インテリジェントコックピット,-,-,-,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,多指飞屏操控,マルチタッチスクリーン操作,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● パワーウインドウ操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車探し","● パワーウインドウ操作
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車探し","● パワーウインドウ操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車探し","● パワーウインドウ操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車探し","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドアコントロール
● ウィンドウコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● 車両状態確認／診断
● 車両位置確認／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置検索/呼出"
互联/智能化,コネクティビティ/スマート機能,主动降噪,アクティブノイズキャンセリング,-,-,-,●,-,-,-,-,-,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載KTV,●,●,●,●,-,-,●,●,●,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,-,-,-,-,-,-,○,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個,● 前席1個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,-,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）,● 前席（エアコン）
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,● 50W,● 50W,-,-,● 50W,● 50W,● 50W,● 15W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,运动风格座椅,スポーツシート,-,-,-,-,●,●,-,-,-,-,-,-,-,-
