セクション,セクション_ja,項目,項目_ja,2025年モデル 後輪駆動 乾崑版,2025年モデル 超長距離走行 乾崑版,2025年モデル 後輪駆動 鯤鵬版,2025年モデル 4WD 乾崑版,2024年モデル 長距離走行 智享版,2024年モデル 長距離走行 超急速充電版,2024年モデル 超長距離走行 智享版
互联/智能化,コネクティビティ/スマート機能,中控屏幕类型,センターコンソール画面タイプ,-,-,-,-,○ OLED,○ OLED,○ OLED
互联/智能化,コネクティビティ/スマート機能,中控屏幕分辨率,センターコンソール画面解像度,● 2K,● 2K,● 2K,● 2K,-,-,-
互联/智能化,コネクティビティ/スマート機能,中控屏幕像素密度,センターコンソール画面ピクセル密度,-,-,-,-,○ 201PPI,○ 201PPI,○ 201PPI
互联/智能化,コネクティビティ/スマート機能,中控液晶屏分屏显示,センター液晶画面分割表示,-,-,-,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン","● マルチメディアシステム
● ナビ
● 電話
● エアコン"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ラントゥ,● こんにちは、ラントゥ,● こんにちは、ラントゥ,● こんにちは、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ,● ハイ、ラントゥ
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,-,-,-
互联/智能化,コネクティビティ/スマート機能,手势控制,ジェスチャー操作,-,-,-,-,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,●,●,●,-,-,-
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● HarmonyOS,● HarmonyOS,● ラントゥ逍遥キャビン,● HarmonyOS,-,-,-
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,-,-,● Qualcomm Snapdragon 8295P,-,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P
互联/智能化,コネクティビティ/スマート機能,车联网,コネクテッドカー,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车内生物监测系统,車内バイオモニタリングシステム,○,○,○,○,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● 点検・整備予約"
互联/智能化,コネクティビティ/スマート機能,模拟声浪,エンジンサウンドシミュレーション,-,-,-,●,-,-,-
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載カラオケ,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 6インチ,● 6インチ,● 6インチ
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ,● 29インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,-,-,-
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),○,○,○,○,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ポート,○,○,○,○,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革／スエード素材ミックス,● 本革／スエード素材ミックス
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）","● 前後スライド調整
● リクライニング調整
● 高さ調整（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能
● ヘッドレストスピーカー（運転席のみ）","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能","● シートヒーター
● ベンチレーション
● マッサージ機能"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能","● シートヒーター
● ベンチレーション
○ マッサージ機能",-,-,-
座椅配置,シート装備,后排小桌板,後部小テーブル,○,○,○,○,-,-,-
座椅配置,シート装備,零重力座椅,ゼログラビティシート,● 助手席,● 助手席,○ 助手席,● 助手席,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,○,○,○,○,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 20スピーカー,● 20スピーカー,● 20スピーカー,● 20スピーカー,● 13スピーカー,● 13スピーカー,● 13スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,-,-,-,-,● 5スピーカー,● 5スピーカー,● 5スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色表示,● 256色表示,● 256色表示,● 256色表示,● 128色表示,● 128色表示,● 128色表示
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,●,●,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–
选装包,オプションパッケージ,百万舒享包,ミリオン快適パッケージ,○ オプション（8000元）,○ オプション（8000元）,○ オプション（8000元）,○ オプション（8000元）,-,-,-
选装包,オプションパッケージ,科技舒享包,テクノロジー快適パッケージ,-,-,-,-,○ オプション（5000元）,○ オプション（5000元）,○ オプション（5000元）
