セクション,セクション_ja,項目,項目_ja,2026年モデル DM i 220 スタート版,2026年モデル DM i 220 ナビゲーション版,2026年モデル DM i 220 インテリジェント航行版,2026年モデル DM i 305 ナビゲーション版,2026年モデル DM i 305 インテリジェント航行版,2025年モデル DM i インテリジェントドライブ版 75KM ラグジュアリー型,2025年モデル DM i 75KM ラグジュアリー型,2025年モデル DM i インテリジェントドライブ版 75KM プレミアム型,2025年モデル DM i 75KM プレミアム型,2025年モデル DM i インテリジェントドライブ版 115KM エグゼクティブ型,2025年モデル DM i 115KM エグゼクティブ型,2025年モデル DM i インテリジェントドライブ版 115KM フラッグシップ型,2025年モデル DM i 115KM フラッグシップ型
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム,● タイヤ空気圧警告システム
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 全席,● 全席
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,-,●,-,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,●,-,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,●,-,●,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,●,-,●,●,-,●,-,●,-,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,-,-,●,-,●,●,-,●,●,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,●,-,●,●,-,●,-,●,-,●,●
主动安全,アクティブセーフティ,哨兵模式/千里眼,セントリーモード/千里眼機能,●,●,●,●,●,●,-,●,-,●,-,●,-
主动安全,アクティブセーフティ,低速行车警告,低速走行警告,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,●,●,●,●,●,-,●,-,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,●,-,●,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,防侧翻系统,横転防止システム,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,"● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）","● スポーツ
● エコ
● 標準／コンフォート
● スノー（走行モード）"
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,陡坡缓降,ヒルディセントコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,可变悬架功能,可変サスペンション機能,-,-,-,-,● サスペンション硬さ調整機能,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ,● 360度パノラマビューカメラ
驾驶硬件,運転ハードウェア,辅助驾驶芯片,運転支援チップ,-,-,-,-,-,● NVIDIA Orin-N（プロセッサー）,-,● NVIDIA Orin-N（プロセッサー）,-,● NVIDIA Orin-N（プロセッサー）,-,● NVIDIA Orin-N（プロセッサー）,-
驾驶硬件,運転ハードウェア,芯片总算力,チップ総演算能力,-,-,-,-,-,● 84 TOPS（演算性能）,-,● 84 TOPS（演算性能）,-,● 84 TOPS（演算性能）,-,● 84 TOPS（演算性能）,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,-,● 双眼カメラ,-,● 双眼カメラ,● 三眼カメラ,-,● 三眼カメラ,● 単眼カメラ,● 三眼カメラ,● 単眼カメラ,● 三眼カメラ,● 単眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 4個,● 4個,● 11個,● 4個,● 11個,● 12個,● 4個,● 12個,● 5個,● 12個,● 5個,● 12個,● 5個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,● 1個,-,● 1個,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波レーダー数,● 6個,● 6個,● 12個,● 6個,● 12個,● 12個,● 6個,● 12個,● 6個,● 12個,● 6個,● 12個,● 6個
驾驶硬件,運転ハードウェア,毫米波雷达数量,ミリ波レーダー数,-,-,● 3個,-,● 3個,● 5個,-,● 5個,-,● 5個,-,● 5個,-
驾驶硬件,運転ハードウェア,激光雷达数量,ライダー数,-,-,○ 1個,-,○ 1個,-,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,● クルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● クルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,-,-,"● DiPilot 100
○ DiPilot 300（1.2万元）",-,"● DiPilot 100
○ DiPilot 300（1.2万元）",● DiPilot 100,-,● DiPilot 100,● DiPilot,● DiPilot 100,● DiPilot,● DiPilot 100,● DiPilot
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,-,-,● レベル2,-,● レベル2,● レベル2,-,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,-,-,●,-,●,●,-,●,-,●,-,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 高徳（Gaode）,● 百度（Baidu）,● 高徳（Gaode）,● 百度（Baidu）,● 高徳（Gaode）,● 百度（Baidu）,● 高徳（Gaode）,● 百度（Baidu）,● 高徳（Gaode）
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,●,-,●,●,-,●,-,●,-,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,●,-,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,-,-,●,-,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,-,●,-,●,●,-,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援機能,-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,●,-,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助变道,車線変更支援,-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,-,-,●,-,●,●,-,●,-,●,-,●,-
驾驶功能,運転機能,辅助驾驶路段,運転支援区間,-,-,"○ 市街地
● 高速道路",-,"○ 市街地
● 高速道路",● 高速道路,-,● 高速道路,-,● 高速道路,-,● 高速道路,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,●,●,●,●,-,-,●,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,-,●,●,●,●,-,-,●,●,●,-,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,-,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子盗難防止,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー","● リモコンキー
● Bluetoothキー
● NFC/RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キー不要エントリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブクローズ式エアインテークグリル,-,-,●,●,●,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,●,-,●,●,-,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,自動ヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,●,●,●,●,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,● 開閉不可パノラマサンルーフ,-,-,● 開閉可能パノラマサンルーフ,● 開閉可能パノラマサンルーフ,● 開閉可能パノラマサンルーフ,● 開閉可能パノラマサンルーフ,● 開閉可能パノラマサンルーフ,● 開閉可能パノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）,前席●／後席●（エアバッグ）
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,ワンタッチウィンドウ昇降機能,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 運転席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,ウィンドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウィンド多層防音ガラス,-,-,-,-,-,-,-,-,-,● 前席,● 前席,● 前席,● 前席
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,感応式ワイパー機能,-,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,● 雨量感応式ワイパー,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラーメモリー
● ドアミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● ドアミラー加熱","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ/スマート機能,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ/スマート機能,中控屏幕尺寸,センターディスプレイサイズ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 12.8インチ,● 15.6インチ,● 15.6インチ
互联/智能化,コネクティビティ/スマート機能,旋转大屏,回転式大型ディスプレイ,-,-,-,-,-,-,●,-,●,-,●,-,●
互联/智能化,コネクティビティ/スマート機能,中控液晶屏分屏显示,センター液晶画面分割表示,-,-,-,-,-,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机互联/映射,スマホ連携/ミラーリング,●,●,●,●,●,-,-,-,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ"
互联/智能化,コネクティビティ/スマート機能,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）,● こんにちは、小迪（音声アシスタント）
互联/智能化,コネクティビティ/スマート機能,语音免唤醒词,音声起動ワード不要,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● クアッドゾーン,● デュアルゾーン,● クアッドゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
互联/智能化,コネクティビティ/スマート機能,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,-,-,●,-,●,-,-,-,-,-,-,-,-
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,-,-,-,-,-,● BYD D100,-,● BYD D100,-,● BYD D100,-,● BYD D100,-
互联/智能化,コネクティビティ/スマート機能,车机系统内存(GB),車載システムメモリ(GB),-,-,-,-,-,● 12,● 6,● 12,● 6,● 12,● 8,● 12,● 8
互联/智能化,コネクティビティ/スマート機能,车机系统存储(GB),車載システムストレージ(GB),-,-,-,-,-,● 256,● 64,● 256,● 64,● 256,● 128,● 256,● 128
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G/5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 4G,● 5G,● 4G,● 5G,● 4G,● 5G,● 4G
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドアコントロール
● エンジン始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索"
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載KTV,●,●,●,●,●,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,-,●,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ,● 8.8インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,-,-,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電端子,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
