セクション,項目,北京越野BJ30 2026款 旅行家 1.5T 混动两驱版,北京越野BJ30 2026款 旅行家 1.5T 混动标准版,北京越野BJ30 2026款 旅行家 1.5T 混动进阶版,北京越野BJ30 2026款 旅行家 1.5T 混动营运版,北京越野BJ30 2026款 旅行家 1.5T DCT两驱标准版,北京越野BJ30 2026款 旅行家 1.5T DCT两驱进阶版,北京越野BJ30 2026款 旅行家 1.5T DCT两驱七座版,北京越野BJ30 2024款 1.5T 轻野Air版,北京越野BJ30 2024款 1.5T 轻野Pro版,北京越野BJ30 2024款 1.5T 轻野Max版,北京越野BJ30 2024款 1.5T 魔核电驱标准版,北京越野BJ30 2024款 1.5T 魔核电驱进阶版
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,220V/230V电源,-,-,●,-,-,-,-,-,-,●,●,●
车内充电,手机无线充电功能,-,-,● 前排,-,-,● 前排,● 前排,-,● 前排,● 前排,-,● 前排
车内充电,手机无线充电功率,-,-,● 50W,-,-,● 50W,● 50W,-,● 50W,● 50W,-,● 50W
车内充电,行李厢12V电源接口,-,-,-,-,-,-,-,-,●,●,●,●
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,主 ● /副-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,-,主 ● /副 ●,主 ● /副 ●,-,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,-,● 加热,"● 加热
● 通风",● 加热,-,● 加热,● 加热,-,● 加热,"● 加热
● 通风",● 加热,"● 加热
● 通风"
座椅配置,电动座椅记忆功能,-,-,● 驾驶位,-,-,-,-,-,-,● 驾驶位,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,座椅布局,-,-,-,-,-,-,● 2-3-2,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 10喇叭,● 8喇叭,● 6喇叭,● 8喇叭,● 8喇叭,● 6喇叭,● 8喇叭,● 10喇叭,● 8喇叭,● 10喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 多色,-,-,-,-,-,-,● 64色,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,●,-,-,-,-,-,-,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,-,-,-,-,●,-,-
空调/冰箱,空气质量监测,-,-,●,-,-,-,-,-,-,●,-,-
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–
