セクション,セクション_ja,項目,項目_ja,2026年モデル 100kWh,2026年モデル 100kWh 自然奇境版,2025年モデル 100kWh,2025年モデル 100kWh 30万台記念版
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 車両始動
● 充電管理
● エアコンコントロール
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）"
互联/智能化,コネクティビティ/スマート機能,模拟声浪,エンジンサウンドシミュレーション,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載カラオケ,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● アルカンターラ／スエードレザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーターパネル画面素材,● MINI LED,● MINI LED,● MINI LED,● MINI LED
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕分辨率（px）,メーターパネル画面解像度（px）,● 1920×532,● 1920×532,● 1920×532,● 1920×532
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕像素密度,メーターパネル画面ピクセル密度,● 196PPI,● 196PPI,● 196PPI,● 196PPI
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,ヘッドアップディスプレイ（HUD）サイズ,● 19.4インチ,● 19.4インチ,● 19.4インチ,● 19.4インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,"● 自動防眩目
○ フロントカメラミラー（3800元）","● 自動防眩目
○ フロントカメラミラー（3800元）","● 自動防眩目
○ フロントカメラミラー（3800元）",● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ポート,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● レザー／スエード素材コンビ,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,メイン ● /サブ ●,メイン ● /サブ ●,メイン ● /サブ ●,メイン ● /サブ ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
○ ベンチレーション
○ マッサージ","● ヒーター
○ ベンチレーション
○ マッサージ"
座椅配置,シート装備,零重力座椅,ゼログラビティシート,"○ 運転席（8500元）
○ 助手席（8500元）","○ 運転席（8500元）
○ 助手席（8500元）",○ 助手席,● 助手席
座椅配置,シート装備,后排座椅放倒形式,後部座席の倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●,前 ● /後 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 23スピーカー,● 23スピーカー,● 23スピーカー,● 23スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス（Dolby Atmos）,●,●,●,●
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 256色,● 256色,● 256色,● 256色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,○,●,○,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–
选装包,オプションパッケージ,交流充放电套装,交流充放電セット,○ オプション（無料）,○ オプション（無料）,○ オプション（無料）,○ オプション（無料）
选装包,オプションパッケージ,蔚来智能辅助驾驶NAD服务,NIOインテリジェント運転支援NADサービス,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）
选装包,オプションパッケージ,蔚来电池租用服务,NIOバッテリーレンタルサービス,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）,○ オプション（価格未定）
选装包,オプションパッケージ,氛围套装,アンビエンスパッケージ,○ オプション（3000元）,-,○ オプション（3000元）,-
选装包,オプションパッケージ,气辉橙卡钳,オレンジキャリパー（QiHuiオレンジ）,○ オプション（3500元）,-,○ オプション（3500元）,○ オプション（3500元）
选装包,オプションパッケージ,Moon主题,Moonテーマ,○ オプション（4500元）,-,○ オプション（4500元）,-
选装包,オプションパッケージ,NOMI车载人工智能系统,NOMI車載AIシステム,○ オプション（4900元）,○ オプション（4900元）,-,-
选装包,オプションパッケージ,拖挂套装,トレーラーパッケージ,○ オプション（7500元）,○ オプション（7500元）,○ オプション（7500元）,○ オプション（7500元）
选装包,オプションパッケージ,女王副驾,クイーン助手席,○ オプション（8500元）,○ オプション（8500元）,○ オプション（8500元）,-
选装包,オプションパッケージ,前雨刮解冻功能,フロントワイパー解氷機能,-,-,○ オプション（1000元）,○ オプション（1000元）
选装包,オプションパッケージ,NOMI Mate 3.0,NOMI Mate 3.0,-,-,○ オプション（4900元）,-
选装包,オプションパッケージ,后排舒享套装,後席コンフォートパッケージ,-,-,○ オプション（5500元）,○ オプション（5500元）
选装包,オプションパッケージ,30万台纪念版专属设计,30万台記念版専用デザイン,-,-,-,○ オプション（無料）
