セクション,セクション_ja,項目,項目_ja,2026年モデル 鼎世版,2025年モデル 鼎世版,Unnamed 4
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー",–
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席
● 後席","● 運転席
● 助手席
● 後席",–
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,–
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● リクライニング調整
● 腰部調整
● レッグレスト調整","● 前後調整
● リクライニング調整
● 腰部調整
● レッグレスト調整",–
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,–
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー",–
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,–
座椅配置,シート装備,零重力座椅,ゼログラビティシート,● 2列目,● 2列目,–
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,–
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● リクライニング調整,● リクライニング調整,–
座椅配置,シート装備,第三排座椅电动调节,3列目電動シート調整,●,●,–
座椅配置,シート装備,第三排座椅功能,3列目シート機能,● ヒーター,"● ヒーター
● ヘッドレストスピーカー",–
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2（3列シート配置）,● 2-2-2（3列シート配置）,–
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,–
座椅配置,シート装備,后排座椅电动放倒,後席電動可倒,●,●,–
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,–
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,–
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● Dynaudio（ダイナオーディオ）,● Dynaudio（ダイナオーディオ）,–
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 32スピーカー,● 32スピーカー,–
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,–
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,–
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 128色,● 128色,–
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,–
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,–
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,–
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,–
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,–
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,–
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,–
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,●,●,–
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,–
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,●,●,–
特色配置,特徴装備,10%-70%闪充时间5分钟,10%-70%急速充電時間5分,●,-,–
特色配置,特徴装備,-30℃ 20%-97%闪充时间12分钟,-30℃ 20%-97%急速充電時間12分,●,-,–
颜色,カラー,外观颜色,外装色,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–
选装包,オプションパッケージ,金标套件-铂金,ゴールドエディションキット-プラチナ,"○ オプション（20,000元）","○ オプション（20,000元）",–
选装包,オプションパッケージ,金标套件-黄金,ゴールドエディションキット-ゴールド,"○ オプション（20,000元）","○ オプション（20,000元）",–
