セクション,セクション_ja,項目,項目_ja,2025年モデル 宗師シリーズ スーパーHV版,2024年モデル 領秀シリーズ 390T ラグジュアリー版,2024年モデル 領秀シリーズ 390T プレミアム版,2024年モデル 大師シリーズ 400T プレミアム版,2024年モデル 宗師シリーズ 400T パイオニア版,2024年モデル 宗師シリーズ 400T プレミアムエディション,2024年モデル 宗師シリーズ 400T テクノロジーケア版,2024年モデル 大師シリーズ スーパーHV版,2023年モデル 宗師シリーズ 400T フラッグシップ版,2026年モデル HEV プレミアム版,2026年モデル HEV プレミアムエディション
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降機能,● 全席,● 運転席,● 前席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,側面多層防音ガラス,"● 前席
● 後席",-,-,-,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席",-,● 全席,-,"● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側面サンシェード,● 手動,-,-,-,● 手動,-,-,-,● 手動,● 手動,● 手動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,-,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席
● 助手席","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席＋照明
● 助手席＋照明","● 運転席
● 助手席","● 運転席＋照明
● 助手席＋照明"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,● 雨量感知式,-,-,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納",● 電動調整,● 電動調整,"● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 10.1インチ,● 10.1インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarLife対応,-,● CarLife対応,● CarLife対応,● 純正連携／ミラーリング,● CarLife対応,● CarLife対応,● CarLife対応,-,"● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応"
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ",-,-,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小祺,-,-,● こんにちは、小祺,● こんにちは、小祺,● こんにちは、小祺,● こんにちは、小祺,● こんにちは、小祺,-,● こんにちは、小祺,● こんにちは、小祺
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別ウェイクアップ認識,● 4ゾーン,-,-,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,-,-,-,-,-,-,-,-,●,-,-
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,-,●,-,-,-,●,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,-,-,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● ADiGOスペース,-,-,● ADiGOスペース,● HarmonyOS,● ADiGOスペース,● ADiGOスペース,● ADiGOスペース,● ADiGO,● ADiGOスペース,● ADiGOスペース
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● クアルコム Snapdragon 8155,-,-,● クアルコム Snapdragon 8155,-,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155,● クアルコム Snapdragon 8155
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,-,-,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内バイオモニタリングシステム,-,-,-,-,●,-,-,-,●,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し",-,-,"● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し","● ドアコントロール
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車探し"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,-,-,-,●,●,●,-,●,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,-,-,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 7インチ,● 7インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,-,-,-,-,-,-,-,-,● 自動防眩機能,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C",● USB,● USB,● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● USB,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席5個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席3個,● 前席3個／後席6個,● 前席3個／後席5個,-,● 前席2個／後席3個,● 前席3個／後席6個,● 前席3個／後席5個,● 前席3個／後席5個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),-,-,-,-,-,-,●,-,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,-,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,-,●,●,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 革／布のコンビ,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革",● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグサポート調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグサポート調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグサポート調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグサポート調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグサポート調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席 ●／助手席,運転席 ●／助手席,運転席 ●／助手席,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席 ●／助手席,運転席● / 助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● 通風",-,-,-,"● 加熱
● 通風","● 加熱
● 通風","● 加熱
● 通風","● 加熱
● 通風","● 加熱
● 通風",-,"● 加熱
● 通風
● マッサージ"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,-,-,-,"● 運転席
● 後席",● 運転席,● 運転席,● 運転席,"● 運転席
● 後席",-,"● 運転席
● 後席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,-,-,-,●,●,●,-,●,-,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整
● レッグサポート調整
● 回転調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整
● レッグサポート調整","● 前後調整
● 背もたれ調整
● レッグサポート調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,-,-,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● 加熱
● 通風
● マッサージ",-,-,"● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ","● 加熱
● 通風
● マッサージ"
座椅配置,シート装備,福祉座椅,福祉シート,-,-,-,-,-,-,●,-,-,-,-
座椅配置,シート装備,后排小桌板,後部小テーブル,●,-,-,-,●,-,-,-,●,-,●
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,"● 前後調整
● 背もたれ調整",● 背もたれ調整,● 背もたれ調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,加热/制冷杯架,加熱／冷却カップホルダー,-,-,-,-,● 加熱／冷却,-,-,-,● 加熱／冷却,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,● YAMAHA（ヤマハ）,-,-,-,● YAMAHA（ヤマハ）,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 16スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 16スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,-,-,●,-,-,-,●,-,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,-,-,-,● 多色,● 多色,● 多色,● 32色,● 多色,● 多色,● 多色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,-,-,-,-,-,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン制御,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,-,●,●,●,●,●,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,-,●,●,●,●,●,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,-,-,-,●,●,●,●,-,-,●
特色配置,特徴装備,福祉座椅,福祉シート,-,-,-,-,-,-,-,-,-,-,-
特色配置,特徴装備,影子车手,シャドウドライバー,●,-,-,●,●,●,-,●,●,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,-,-
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,-,-
