セクション,セクション_ja,項目,項目_ja,2026年モデル 1.5TD DCT ハッピー 5人乗り,2026年モデル 1.5TD DCT 幸福 5人乗り,2026年モデル 1.5TD DCT 幸福 7人乗り,2026年モデル 1.5TD DCT 満足 6人乗り,2026年モデル 1.5TD DCT 満足 7人乗り,2026年モデル 2.0TD DCT 満足 6人乗り,2026年モデル 2.0TD DCT 満足 7人乗り,2025年モデル 2.0T DCT 尊享モデル,2024年モデル 2.0T DCT 豪華型,2024年モデル 2.0T DCT 尊貴型,2024年モデル 2.0T DCT フラッグシップ型
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納",● 電動調整,"● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納","● 電動調整
● 電動格納
● ドアミラー加熱
● 施錠時自動格納"
互联/智能化,コネクティビティ／スマート化,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
互联/智能化,コネクティビティ／スマート化,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
互联/智能化,コネクティビティ／スマート化,中控屏幕分辨率,センターディスプレイ解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
互联/智能化,コネクティビティ／スマート化,中控屏幕像素密度,センターディスプレイ画素密度,● 151PPI,● 151PPI,● 151PPI,● 151PPI,● 151PPI,● 151PPI,● 151PPI,● 151PPI,● 151PPI,● 151PPI,● 151PPI
互联/智能化,コネクティビティ／スマート化,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート化,手机互联/映射,スマホ連携/ミラーリング,"● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応
● Flyme link対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応","● HUAWEI HiCar対応
● Carlink対応"
互联/智能化,コネクティビティ／スマート化,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビ
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
○ サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビ
● 電話
● エアコン
● サンルーフ"
互联/智能化,コネクティビティ／スマート化,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー,● こんにちは、ジーリー
互联/智能化,コネクティビティ／スマート化,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●,-,-,-,-
互联/智能化,コネクティビティ／スマート化,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
互联/智能化,コネクティビティ／スマート化,语音连续识别,音声連続認識機能,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート化,可见即可说,見てすぐ話しかけ可能,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート化,应用商店,アプリストア,●,●,●,●,●,●,●,-,-,-,-
互联/智能化,コネクティビティ／スマート化,车载智能系统,車載インテリジェントシステム,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● Flyme Auto,● ジーリー銀河OS 2.0,● ジーリー銀河OS 2.0,● ジーリー銀河OS 2.0,● ジーリー銀河OS 2.0
互联/智能化,コネクティビティ／スマート化,多指飞屏操控,マルチタッチスクリーン操作,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート化,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート化,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
互联/智能化,コネクティビティ／スマート化,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●
互联/智能化,コネクティビティ／スマート化,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● メンテナンス予約","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● メンテナンス予約","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● 車両状態確認/診断
● 車両位置特定/車両検索
● メンテナンス予約","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● 車両状態確認/診断
● 車両位置特定/車両検索
● メンテナンス予約","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● 車両状態確認/診断
● 車両位置特定/車両検索
● メンテナンス予約","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● 車両状態確認/診断
● 車両位置特定/車両検索
● メンテナンス予約","● ドア操作
● ウインドウ操作
● エンジン始動
● エアコン操作
● シートヒーター
● 車両状態確認/診断
● 車両位置特定/車両検索
● メンテナンス予約",●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,● 前席
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ソケット,-,●,●,●,●,●,●,●,-,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革／スエード素材コンビ,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席 ● / 助手席,運転席 ● / 助手席,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,-,運転席 ● / 助手席,運転席● / 助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,"● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション",-,-,"● シートヒーター
● シートベンチレーション"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,-,●,-,●,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,"● シートヒーター
● シートベンチレーション
● マッサージ機能",-,"● シートヒーター
● シートベンチレーション
● マッサージ機能",-,-,-,-,-
座椅配置,シート装備,第二排独立座椅,2列目独立シート,-,-,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,-,-,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,-,-,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,-,-,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-3-2,● 2-2-2,● 2-3-2,● 2-3-2,● 2-3-2
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 一体可倒式,● 一体可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席,前席● / 後席,前席● / 後席,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席,前席● / 後席,前席● / 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,●,●,●,●,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,●,●,●,●,●,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,●,●,●,●,●,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,●,●,●,●,-,-,-,-
特色配置,特徴装備,三指飞屏（双屏导航共享）,3本指ジェスチャー（デュアルスクリーンナビ共有）,-,-,-,-,-,-,-,-,●,●,●
特色配置,特徴装備,第二排魔法吧台,2列目マジックバー,-,-,-,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–
