セクション,セクション_ja,項目,項目_ja,2026年モデル 103度後輪駆動 Max版,2026年モデル 95度4WD Max版,2026年モデル 103度4WD Ultra版,2026年モデル 103度4WD Ultra+版,2026年モデル 103度4WD 5周年記念版
互联/智能化,コネクティビティ/スマート機能,语音连续识别,連続音声認識,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,可见即可说,見てすぐ話せる機能,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,面部识别,顔認証,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,应用商店,アプリストア,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载智能系统,車載インテリジェントシステム,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS,● ZEEKR OS
互联/智能化,コネクティビティ/スマート機能,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295,● Qualcomm Snapdragon 8295
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕,後席液晶画面,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕尺寸,後席液晶画面サイズ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕类型,後席液晶画面タイプ,● MINI LED,● MINI LED,● MINI LED,● MINI LED,● MINI LED
互联/智能化,コネクティビティ/スマート機能,后排液晶屏幕分辨率,後席液晶画面解像度,● 2K解像度,● 2K解像度,● 2K解像度,● 2K解像度,● 2K解像度
互联/智能化,コネクティビティ/スマート機能,后排多媒体屏幕数量,後席マルチメディア画面数,● 1個,● 1個,● 1個,● 1個,● 1個
互联/智能化,コネクティビティ/スマート機能,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车联网,車載ネットワーク,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,4G/5G网络,4G／5Gネットワーク,● 5G対応,● 5G対応,● 5G対応,● 5G対応,● 5G対応
互联/智能化,コネクティビティ/スマート機能,OTA升级,OTAアップデート,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約","● ドアコントロール
● 車両始動
● 充電管理
● エアコン制御
● 車両状態確認／診断
● 車両位置特定／車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）
● メンテナンス／修理予約"
互联/智能化,コネクティビティ/スマート機能,模拟声浪,擬似エンジンサウンド,●,●,●,●,●
互联/智能化,コネクティビティ/スマート機能,车载KTV,車載KTV,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 13.02インチ,● 13.02インチ,● 13.02インチ,● 13.02インチ,● 13.02インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕分辨率（px）,メーター画面解像度（px）,● 2560×536ピクセル,● 2560×536ピクセル,● 2560×536ピクセル,● 2560×536ピクセル,● 2560×536ピクセル
方向盘/内后视镜,ステアリング・内側ミラー,AR-HUD增强现实抬头显示,AR-HUD拡張現実ヘッドアップディスプレイ,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップサイズ,● 39.3インチ,● 39.3インチ,● 39.3インチ,● 39.3インチ,● 39.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能,● 自動防眩目機能
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート,● Type-Cポート
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革,● 本革,● 本革,● レザー／スエード素材コンビ
座椅配置,シート装備,运动风格座椅,スポーツシート,●,●,●,●,●
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）
● サイドサポート（アクティブ）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● リクライニング調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主●／副●,主●／副●,主●／副●,主●／副●,主●／副●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● リクライニング調整
○ レッグレスト調整
○ フットレスト調整","● リクライニング調整
○ レッグレスト調整
○ フットレスト調整","● リクライニング調整
○ レッグレスト調整
○ フットレスト調整","● リクライニング調整
○ レッグレスト調整
○ フットレスト調整","● リクライニング調整
○ レッグレスト調整
○ フットレスト調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー","● ヒーター
● ベンチレーション
● マッサージ
● ヘッドレストスピーカー"
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 29スピーカー,● 29スピーカー,● 29スピーカー,● 29スピーカー,● 29スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色表示,● 多色表示,● 多色表示,● 多色表示,● 多色表示
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–
选装包,オプションパッケージ,撞色车顶,ツートンルーフ,○ オプション (2000元),○ オプション (2000元),○ オプション (2000元),○ オプション (2000元),-
选装包,オプションパッケージ,「伊姆斯躺椅」模式,イームズラウンジチェアモード,○ オプション (6000元),○ オプション (6000元),○ オプション (6000元),○ オプション (6000元),-
选装包,オプションパッケージ,智能电动拖车钩套装,スマート電動トレーラーフックセット,○ オプション (7000元),○ オプション (7000元),○ オプション (7000元),○ オプション (7000元),○ オプション (7000元)
选装包,オプションパッケージ,碳纤维轻量化后视镜壳体,カーボンファイバー軽量サイドミラーカバー,○ オプション (8000元),○ オプション (8000元),○ オプション (8000元),-,-
选装包,オプションパッケージ,碳纤维风刃滑翔运动尾翼,カーボンファイバーウィングスポイラー,○ オプション (14000元),○ オプション (14000元),○ オプション (14000元),○ オプション (14000元),-
选装包,オプションパッケージ,智能感应自动门套装,スマートセンサー自動ドアセット,○ オプション (16000元),○ オプション (16000元),○ オプション (16000元),-,-
选装包,オプションパッケージ,浩瀚星空顶套装,スターリースカイルーフセット,○ オプション (20000元),○ オプション (20000元),○ オプション (20000元),-,-
选装包,オプションパッケージ,五周年纪念版套件,5周年記念版キット,-,-,-,-,○ オプション (無料)
