セクション,セクション_ja,項目,項目_ja,2026年モデル 230km 2WD ロングレンジ版,2026年モデル 220km 4WD ロングレンジ版,2026年モデル 220km 4WD パイオニア版,2026年モデル 220km 4WD エクスプローラー＋版,2026年モデル 220km 4WD スターライト版
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）,● カラー（多色表示）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,-,● 16.6インチ,● 16.6インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー,● 手動防眩ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート","● USB
● Type-Cポート"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,主●／副●,主●／副●,主●／副●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,"● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション","● シートヒーター
● ベンチレーション
● マッサージ機能"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,"● 運転席
○ 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,○
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,"○ シートヒーター
○ ベンチレーション
○ マッサージ機能"
座椅配置,シート装備,后排小桌板,後部小テーブル,-,-,-,-,○
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前●／後●,前●／後●,前●／後●,前●／後●,前●／後●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,"● 6スピーカー
○ 16スピーカー（8800元）","● 6スピーカー
○ 16スピーカー（8800元）","● 6スピーカー
○ 16スピーカー（8800元）"
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,● 256色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–
选装包,オプションパッケージ,爆胎稳行系统,パンク時安定走行システム,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）
选装包,オプションパッケージ,二排舒享包,2列目快適パッケージ,-,-,-,-,○ オプション（6000元）
