セクション,セクション_ja,項目,項目_ja,2026年モデル 2.0T ディーゼル版 長風,2026年モデル 2.0T 高地,2025年モデル 2.0T ディーゼル版,2025年モデル 2.0T 検閲官,2025年モデル 2.0T 長風,2024年モデル 2.0T メカニック,2024年モデル 2.0T エクスプローラー
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席 ○ / 助手席 ○,運転席● / 助手席●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● 通気
● マッサージ（運転席のみ）","● 加熱
● 通気
● マッサージ（運転席のみ）","● 加熱
● 通気","● 加熱
● 通気
● マッサージ（運転席のみ）","● 加熱
● マッサージ（運転席のみ）",-,"● 加熱
● マッサージ（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,-,-,-,-,-,-,-
特色配置,特別装備,氮气减震器,窒素ガスダンパー,●,●,-,-,●,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–
选装包,オプションパッケージ,拖车包,トレーラーパッケージ,○ オプション（価格未定）,-,-,-,-,-,-
选装包,オプションパッケージ,选装包,オプションパッケージ,○ オプション（価格未定）,-,-,-,-,-,-
选装包,オプションパッケージ,越野包,オフロードパッケージ,-,-,-,-,-,○ オプション（価格未定）,○ オプション（価格未定）
选装包,オプションパッケージ,舒享包,快適パッケージ,-,-,-,-,-,○ オプション（価格未定）,-
