セクション,項目,宋Ultra 2026款 DM-i 205KM 领先型,宋Ultra 2026款 DM-i 205KM 超越型,宋Ultra 2026款 DM-i 310KM 领先型,宋Ultra 2026款 DM-i 310KM 超越型,宋Ultra 2026款 DM-i 310KM 卓越型,宋Ultra 2026款 EV 605KM 领先型,宋Ultra 2026款 EV 605KM 超越型,宋Ultra 2026款 EV 710KM 超越型,宋Ultra 2026款 EV 710KM 卓越型
方向盘/内后视镜,方向盘加热,-,-,-,-,●,-,-,-,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,-,-,-,-,●,-,-,-,●
方向盘/内后视镜,HUD抬头尺寸,-,-,-,-,● 26英寸,-,-,-,● 26英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目
方向盘/内后视镜,ETC装置,●,●,●,●,●,●,●,●,●
车内充电,多媒体/充电接口,"● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C","● USB
● SD
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●,主 ● /副 ●
座椅配置,前排座椅功能,-,"● 加热
● 通风","● 加热
● 通风","● 加热
● 通风","● 加热
● 通风
● 按摩",-,"● 加热
● 通风","● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩"
座椅配置,电动座椅记忆功能,-,-,-,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●,前 ● /后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 16喇叭,● 8喇叭,● 8喇叭,● 16喇叭,● 16喇叭
音响/车内灯光,车内环境氛围灯,-,● 127色,● 127色,● 127色,● 127色,-,● 127色,● 127色,● 127色
音响/车内灯光,主动式环境氛围灯,-,-,-,●,●,-,-,-,●
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,●,●,●,●,●,●,●,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,-,-,-,●,-,-,-,●
空调/冰箱,车载冰箱,-,-,-,-,●,-,-,-,●
特色配置,10%-70%闪充时间5分钟,-,-,-,-,-,●,●,●,●
特色配置,-30℃ 20%-97%闪充时间12分钟,-,-,-,-,-,●,●,●,●
颜色,外观颜色,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–
选装包,天神之眼B,-,-,-,-,-,-,○ 选配 (12000元),○ 选配 (12000元),○ 选配 (12000元)
