セクション,セクション_ja,項目,項目_ja,2026年モデル 405Air,2026年モデル 405Max,2026年モデル 506Pro+,2026年モデル 506Max+,2026年モデル 506Max,2026年モデル 405レーザー極智版,2026年モデル 506レーザー極智版
互联/智能化,互联/智能化,车联网,車載ネットワーク,●,●,●,●,●,●,●
互联/智能化,互联/智能化,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 5G,● 5G
互联/智能化,互联/智能化,OTA升级,OTAアップデート,●,●,●,●,●,●,●
互联/智能化,互联/智能化,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●
互联/智能化,互联/智能化,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約","● ドアコントロール
● ウインドウコントロール
● エンジン始動
● 充電管理
● ライトコントロール
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認/診断
● 車両位置特定/車両探索
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等）
● 点検/修理予約"
互联/智能化,互联/智能化,车载KTV,車載KTV機能,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー,● レザー
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,○,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.17インチ,● 10.17インチ,● 10.17インチ,● 10.17インチ,● 10.17インチ,● 10.17インチ,● 10.17インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前列,-,● 前列,● 前列,● 前列,● 前列
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 50W,-,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源ポート,-,-,-,●,●,-,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,"● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）
● マッサージ（運転席のみ）","● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）
● マッサージ（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター
● ベンチレーション
● マッサージ","● ヒーター（運転席のみ）
● ベンチレーション（運転席のみ）
● マッサージ（運転席のみ）","● ヒーター
● ベンチレーション
● マッサージ"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,● 背もたれ調整,-,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排座椅放倒形式,後部座席倒し方式,● 一体倒伏,● 分割合倒,● 一体倒伏,● 分割合倒,● 分割合倒,● 分割合倒,● 分割合倒
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,-,●,●,-,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 8スピーカー,● 4スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,● 256色,● 256色,● 256色,● 256色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,-,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度制御方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–
选装包,オプションパッケージ,追光舒享包,ライトトレース快適パッケージ,-,-,-,-,○ オプション（5000元）,-,-
选装包,オプションパッケージ,激光智享包,レーザーインテリジェントパッケージ,-,-,-,-,○ オプション（9000元）,-,-
选装包,オプションパッケージ,黑色车顶,ブラックルーフ,-,-,-,-,-,○ オプション（2999元）,○ オプション（2999元）
